monthIndex,monthDays,daysOfPrecip,rain,temp,tempMax,tempMin,windSpeed,feelsLike,relHum,cldCvr,radSolar,name,Estado
3,31,4,16,14,23,6,8,13,45,46,290,Marzo,ciudad de mexico
4,30,4,17,16,25,8,7,15,44,49,297,Abril,ciudad de mexico
5,31,10,66,16,25,9,6,16,54,62,279,Mayo,ciudad de mexico
6,30,19,203,15,22,9,6,15,71,75,253,Junio,ciudad de mexico
7,31,26,285,14,20,9,6,13,82,81,242,Julio,ciudad de mexico
8,31,26,251,13,20,9,6,13,83,81,234,Agosto,ciudad de mexico
9,30,23,221,13,18,9,7,12,85,84,207,Septiembre,ciudad de mexico
10,31,14,103,12,19,7,7,11,79,69,221,Octubre,ciudad de mexico
11,30,6,30,11,18,5,7,10,70,55,218,Noviembre,ciudad de mexico
12,31,2,8,10,18,4,7,10,61,47,211,Diciembre,ciudad de mexico
1,31,3,13,11,18,5,14,9,52,37,194,Enero,estado de coahuila de zaragoza
2,28,2,8,13,21,7,16,12,46,32,240,Febrero,estado de coahuila de zaragoza
3,31,3,18,16,24,9,16,15,45,33,277,Marzo,estado de coahuila de zaragoza
4,30,4,14,20,27,12,17,19,44,33,315,Abril,estado de coahuila de zaragoza
5,31,7,35,21,29,14,17,21,50,33,325,Mayo,estado de coahuila de zaragoza
6,30,12,84,22,29,15,18,22,56,35,314,Junio,estado de coahuila de zaragoza
7,31,16,108,22,28,16,17,22,60,44,297,Julio,estado de coahuila de zaragoza
8,31,15,97,21,28,15,16,22,61,43,284,Agosto,estado de coahuila de zaragoza
9,30,15,116,19,25,14,14,19,69,50,237,Septiembre,estado de coahuila de zaragoza
10,31,8,44,17,25,11,15,17,61,35,232,Octubre,estado de coahuila de zaragoza
11,30,4,18,14,21,8,15,13,58,30,199,Noviembre,estado de coahuila de zaragoza
12,31,3,20,12,20,6,15,11,50,35,185,Diciembre,estado de coahuila de zaragoza
1,31,2,17,20,28,13,7,20,54,38,218,Enero,estado de colima
2,28,2,18,20,29,13,8,20,52,32,256,Febrero,estado de colima
3,31,1,12,21,30,14,8,21,46,29,299,Marzo,estado de colima
4,30,0,0,23,32,16,8,23,45,28,327,Abril,estado de colima
5,31,5,26,24,32,18,8,24,51,39,320,Mayo,estado de colima
6,30,22,254,23,29,19,6,24,72,62,276,Junio,estado de colima
7,31,29,346,22,29,18,5,23,81,73,266,Julio,estado de colima
8,31,30,397,22,29,17,5,23,84,74,257,Agosto,estado de colima
9,30,28,397,21,28,18,5,22,87,77,232,Septiembre,estado de colima
10,31,21,178,21,29,17,6,22,80,54,237,Octubre,estado de colima
11,30,6,32,21,29,15,7,21,67,34,225,Noviembre,estado de colima
12,31,2,12,20,28,14,7,20,58,35,210,Diciembre,estado de colima
1,31,2,7,11,21,2,11,10,46,43,205,Enero,estado de durango
2,28,2,6,13,23,4,12,12,40,36,252,Febrero,estado de durango
3,31,3,9,16,25,6,13,15,35,35,297,Marzo,estado de durango
4,30,2,3,19,28,8,15,18,33,37,334,Abril,estado de durango
5,31,7,21,21,30,11,13,21,37,38,334,Mayo,estado de durango
6,30,17,155,22,30,14,10,22,53,48,303,Junio,estado de durango
7,31,23,232,20,27,14,8,20,65,57,291,Julio,estado de durango
8,31,23,234,20,27,14,7,20,66,57,284,Agosto,estado de durango
9,30,21,194,19,26,13,7,19,68,60,249,Septiembre,estado de durango
10,31,10,65,17,26,9,8,17,59,39,245,Octubre,estado de durango
11,30,6,26,14,23,5,9,13,55,33,214,Noviembre,estado de durango
12,31,3,10,12,22,3,11,11,48,43,196,Diciembre,estado de durango
1,31,3,18,12,20,5,11,11,53,44,214,Enero,estado de guanajuato
2,28,4,20,14,22,6,12,13,45,38,255,Febrero,estado de guanajuato
3,31,5,31,15,24,8,11,15,44,36,292,Marzo,estado de guanajuato
4,30,6,23,18,26,10,11,18,40,40,317,Abril,estado de guanajuato
5,31,12,57,19,27,12,10,19,46,50,302,Mayo,estado de guanajuato
6,30,19,175,18,25,13,10,18,62,61,276,Junio,estado de guanajuato
7,31,22,216,17,23,12,10,17,71,67,277,Julio,estado de guanajuato
8,31,21,171,17,23,12,10,17,71,63,273,Agosto,estado de guanajuato
9,30,16,139,16,22,12,11,16,71,70,239,Septiembre,estado de guanajuato
10,31,10,73,15,23,10,12,15,64,54,236,Octubre,estado de guanajuato
11,30,6,24,13,21,7,12,12,61,43,217,Noviembre,estado de guanajuato
12,31,3,15,12,21,6,11,11,56,40,207,Diciembre,estado de guanajuato
1,31,1,5,17,26,10,5,16,58,41,221,Enero,estado de guerrero
2,28,1,6,18,28,10,5,18,55,37,253,Febrero,estado de guerrero
3,31,1,4,19,30,11,5,19,50,38,286,Marzo,estado de guerrero
4,30,2,6,22,31,13,5,22,46,38,306,Abril,estado de guerrero
5,31,12,95,22,30,15,5,22,58,60,283,Mayo,estado de guerrero
6,30,25,343,19,25,16,4,20,81,81,241,Junio,estado de guerrero
7,31,29,398,19,25,15,4,19,85,83,246,Julio,estado de guerrero
8,31,29,408,19,25,15,4,19,87,83,241,Agosto,estado de guerrero
9,30,28,406,18,24,15,4,18,89,86,214,Septiembre,estado de guerrero
10,31,20,184,18,25,14,4,18,83,71,223,Octubre,estado de guerrero
11,30,7,38,17,26,11,5,17,71,50,221,Noviembre,estado de guerrero
12,31,1,2,16,26,10,4,16,61,41,212,Diciembre,estado de guerrero
1,31,4,13,10,17,4,9,9,62,45,213,Enero,estado de hidalgo
2,28,5,17,11,19,5,10,11,57,40,254,Febrero,estado de hidalgo
3,31,9,45,13,20,7,11,12,57,38,291,Marzo,estado de hidalgo
4,30,11,46,15,22,9,10,15,56,40,314,Abril,estado de hidalgo
5,31,16,96,15,22,10,10,15,61,51,310,Mayo,estado de hidalgo
6,30,22,225,14,20,10,9,14,75,64,266,Junio,estado de hidalgo
7,31,26,250,14,18,10,9,13,80,71,237,Julio,estado de hidalgo
8,31,27,230,14,19,10,9,13,80,71,226,Agosto,estado de hidalgo
9,30,23,206,13,18,9,9,13,82,79,178,Septiembre,estado de hidalgo
10,31,14,91,12,18,7,9,11,77,67,192,Octubre,estado de hidalgo
11,30,7,27,10,17,5,9,10,74,55,186,Noviembre,estado de hidalgo
12,31,4,15,10,18,5,9,9,67,42,199,Diciembre,estado de hidalgo
1,31,3,16,15,25,6,7,15,57,39,214,Enero,estado de jalisco
2,28,3,21,17,27,7,7,16,52,32,255,Febrero,estado de jalisco
3,31,4,23,19,29,8,8,19,44,29,297,Marzo,estado de jalisco
4,30,4,12,21,31,11,8,21,39,30,329,Abril,estado de jalisco
5,31,9,48,23,32,14,8,23,44,39,322,Mayo,estado de jalisco
6,30,22,206,22,29,16,6,22,63,62,279,Junio,estado de jalisco
7,31,29,301,21,27,16,5,21,71,71,268,Julio,estado de jalisco
8,31,28,245,21,26,16,5,21,72,69,265,Agosto,estado de jalisco
9,30,24,197,20,26,16,6,20,73,71,247,Septiembre,estado de jalisco
10,31,15,104,19,26,13,6,19,66,52,240,Octubre,estado de jalisco
11,30,8,53,17,25,10,6,17,63,34,222,Noviembre,estado de jalisco
12,31,4,25,15,25,7,6,15,60,34,205,Diciembre,estado de jalisco
1,31,3,19,12,21,4,8,11,52,44,219,Enero,estado de mexico
2,28,2,10,14,23,6,8,13,47,39,260,Febrero,estado de mexico
3,31,4,14,16,24,8,8,15,45,38,292,Marzo,estado de mexico
4,30,3,13,18,26,10,7,17,44,41,310,Abril,estado de mexico
5,31,8,51,18,26,11,7,18,52,56,298,Mayo,estado de mexico
6,30,18,184,17,24,11,7,17,65,67,270,Junio,estado de mexico
7,31,27,284,16,22,11,6,16,71,74,251,Julio,estado de mexico
8,31,26,238,16,23,11,7,16,70,73,250,Agosto,estado de mexico
9,30,21,195,16,22,11,7,15,71,77,220,Septiembre,estado de mexico
10,31,12,87,14,22,8,8,14,66,63,228,Octubre,estado de mexico
11,30,7,39,13,22,6,7,13,62,50,215,Noviembre,estado de mexico
12,31,3,15,12,22,5,7,12,55,38,213,Diciembre,estado de mexico
1,31,5,27,14,22,7,8,13,57,48,212,Enero,estado de michoacan de ocampo
2,28,5,34,15,24,7,8,15,53,40,251,Febrero,estado de michoacan de ocampo
3,31,8,54,17,25,9,8,17,50,38,285,Marzo,estado de michoacan de ocampo
4,30,8,38,19,28,11,8,19,46,40,308,Abril,estado de michoacan de ocampo
5,31,14,100,20,28,13,7,20,52,56,282,Mayo,estado de michoacan de ocampo
6,30,25,323,19,25,14,7,19,68,67,257,Junio,estado de michoacan de ocampo
7,31,30,467,18,23,13,6,18,76,74,245,Julio,estado de michoacan de ocampo
8,31,30,432,17,23,13,6,17,76,73,246,Agosto,estado de michoacan de ocampo
9,30,27,345,17,22,13,7,17,77,76,225,Septiembre,estado de michoacan de ocampo
10,31,17,148,16,23,11,7,16,72,58,238,Octubre,estado de michoacan de ocampo
11,30,10,64,15,22,8,7,14,68,45,217,Noviembre,estado de michoacan de ocampo
12,31,6,32,14,22,7,7,14,62,41,206,Diciembre,estado de michoacan de ocampo
